original, produced, theorylemma
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
4, 4, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
7, 7, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
5, 5, TRUE
17, 11, FALSE
17, 3, FALSE
17, 10, FALSE
17, 8, FALSE
17, 9, FALSE
17, 10, FALSE
17, 10, FALSE
17, 10, FALSE
17, 11, FALSE
17, 6, FALSE
17, 10, FALSE
17, 10, FALSE
17, 10, FALSE
17, 10, FALSE
17, 10, FALSE
17, 9, FALSE
17, 7, FALSE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
1, 1, TRUE
2, 2, TRUE
2, 2, TRUE
3, 3, TRUE
3, 3, TRUE
4, 4, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
3, 3, TRUE
4, 4, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
5, 5, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
6, 6, TRUE
4, 4, TRUE
5, 5, TRUE
6, 6, TRUE
5, 5, TRUE
6, 6, TRUE
4, 4, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
5, 5, TRUE
6, 6, TRUE
